 Sr. No , Province , NA , District , Total Candidates , Polling Stations , Wining Party , Elected MNA , Total Male Voters , Total Female Voters , Total Voters , Total Casted Male Voters , Total Casted Female Voters , Total Casted Votes , Correct Votes , Incorect Votes , Total Turnout % , Male Turnout % , Female Turnout % , IND  , IND-win , IND-PTI , PML(N) , PPPP , MQM  , JUI(P) , ANP , JIP , TLP , PML , IPP , MWMP , BNP , PML(Z) , PNAPF , BAP , PMML , PMAP , NP , GDA , PTI(P) , RJUI , PRHP , QWP , MOTP , PNP , AWP , JUIP(S) , TIPM , HQMP , PAT , PIRP , JUI(N) , NDM , TDP , PFM , PTSP , ATP , MATP , PDQM , TJP , PAAP , BPP , SKQM , PTE , GDP , AATP , PMLKQK , PWP , PAL , PAQ , PFP , TTK , PTSB , TLI , AJPP , AMLP , TTP , PT-Insaniat , APP , JUP(IN) , PTI(N) , ALPP , SIC , KIAP , PPP(BS) , TAP , JWP , IJIP , PL , PMP(N) , HKP , NPC , MJAHP , KI , PML(O) , APMM , SDP , TTNP , PPAP(A) , JUI(NP) , PKI(CA) , PSDP , PAAM , Aman.TP , PSP , PMA , KS , AL , PCP , MQMP , ALI , PML-C , PMLSAF , BNP(A) , JQM , HDTB , HDP , AHDP 
 59 , Punjab , NA-60 , Jhelum-I , 18 , 386 , PML(N) , Bilal Azhar Kayani ," 274,745 "," 264,152 "," 538,897 "," 121,525 "," 116,020 "," 237,545 "," 231,836 "," 5,709 ", 44 , 44 , 44 ," 32,168 ", -   ," 90,474 "," 99,948 "," 4,652 ", 282 , -   , -   ," 2,988 ", -   , -   , -   , -   , -   , -   , -   , -   , 397 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 491 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 436 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 60 , Punjab , NA-61 , Jhelum-II , 13 , 380 , PML(N) , Ch Farrukh Altaf ," 269,016 "," 248,567 "," 517,583 "," 129,990 "," 116,092 "," 246,082 "," 236,423 "," 9,659 ", 48 , 48 , 47 ," 17,627 ", -   ," 84,584 "," 88,038 "," 13,294 ", -   , -   , -   ," 2,648 "," 28,218 ", -   , -   , -   , -   , -   , -   , -   ," 2,014 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 61 , Punjab , NA-62 , Gujrat-I , 26 , 348 , IND-PTI , M Ilyas Ch ," 276,123 "," 256,229 "," 532,352 "," 127,701 "," 101,469 "," 229,170 "," 228,805 ", 365 , 43 , 46 , 40 ," 5,491 ", -   ," 97,436 "," 71,154 ", -   , -   , -   , -   ," 2,042 "," 24,035 "," 26,797 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,186 ", -   , -   , -   , -   , -   , -   , -   , 437 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 227 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 62 , Punjab , NA-63 , Gujrat-II , 14 , 358 , PML , Hussain Ilhai ," 280,812 "," 247,147 "," 527,959 "," 141,035 "," 128,090 "," 269,125 "," 265,331 "," 3,794 ", 51 , 50 , 52 ," 3,855 ", -   ," 81,640 "," 56,736 "," 1,347 ", -   , -   , -   ," 4,005 "," 27,963 "," 88,069 ", -   , -   , -   , -   , -   , -   , 705 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,011 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 63 , Punjab , NA-64 , Gujrat-III , 18 , 359 , PML , Ch Salik Hussain ," 290,657 "," 260,967 "," 551,624 "," 149,266 "," 74,632 "," 223,898 "," 223,082 ", 816 , 41 , 51 , 29 ," 2,357 ", -   ," 80,946 ", -   ," 1,089 ", -   , 412 , -   ," 9,557 "," 20,445 "," 105,205 ", -   , -   , -   , -   , -   , -   , 427 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 696 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 543 , -   , -   , -   , -   , -   , -   ," 1,405 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 64 , Punjab , NA-65 , Gujrat-IV , 20 , 414 , PML(N) , Ch Naseer Ahmad ," 310,662 "," 275,591 "," 586,253 "," 156,573 "," 130,904 "," 287,477 "," 277,854 "," 9,623 ", 49 , 50 , 47 ," 23,990 ", -   ," 82,411 "," 90,982 "," 51,282 ", -   ," 1,566 ", -   ," 3,957 "," 20,895 ", -   , -   , -   , -   , -   , -   , -   ," 1,263 ", -   , 198 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 903 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 407 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 65 , Punjab , NA-66 , Wazirabad , 27 , 396 , IND-PTI , M Ahmad Chattha ," 346,741 "," 300,131 "," 646,872 "," 172,665 "," 140,832 "," 313,497 "," 304,248 "," 9,249 ", 48 , 50 , 47 ," 9,038 ", -   ," 160,676 "," 100,633 "," 4,920 ", -   , -   , -   ," 6,958 "," 18,968 ", -   , -   , 72 , -   , -   , -   , -   ," 2,242 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 741 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 66 , Punjab , NA-67 , Hafizabad , 22 , 619 , IND-PTI , Aniq Mehdi ," 439,770 "," 370,953 "," 810,723 "," 264,084 "," 198,155 "," 462,239 "," 448,862 "," 13,377 ", 57 , 60 , 53 ," 21,343 ", -   ," 211,039 "," 183,946 "," 4,256 ", 235 , -   , -   , -   ," 25,722 ", -   , -   , -   , -   , 228 , -   , -   ," 1,463 ", -   , 176 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 454 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 67 , Punjab , NA-68 , M.B.Din-I , 24 , 385 , IND-PTI , Haji Imtiaz Ahmad ," 325,060 "," 288,121 "," 613,181 "," 167,318 "," 139,354 "," 306,672 "," 297,621 "," 9,051 ", 50 , 51 , 48 ," 13,962 ", -   ," 166,093 "," 70,926 "," 20,390 ", 196 , -   , -   ," 8,251 "," 16,593 ", -   , -   , -   , -   , -   , -   , -   , 618 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 592 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 68 , Punjab , NA-69 , M.B.Din-II , 20 , 377 , PML(N) , Nasir Iqbal Bosal ," 325,897 "," 276,004 "," 601,901 "," 176,185 "," 122,814 "," 298,999 "," 287,271 "," 11,728 ", 50 , 54 , 44 ," 40,426 ", -   ," 108,768 "," 113,285 "," 6,627 ", -   , -   , 548 ," 2,740 "," 13,127 ", 765 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 985 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 69 , Punjab , NA-70 , Sialkot-I , 24 , 363 , PML(N) , Ch Armughan Subhani ," 301,530 "," 254,222 "," 555,752 "," 161,910 "," 130,415 "," 292,325 "," 285,249 "," 7,076 ", 53 , 54 , 51 ," 10,467 ", -   ," 112,117 "," 123,437 "," 2,498 ", -   , -   , -   , -   ," 23,928 ", -   ," 10,655 ", -   , -   , -   , -   , -   ," 1,704 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 443 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 70 , Punjab , NA-71 , Sialkot-II , 18 , 358 , PML(N) , Khawaja M Asif ," 305,133 "," 272,148 "," 577,281 "," 148,466 "," 103,618 "," 252,084 "," 245,451 "," 6,633 ", 44 , 49 , 38 ," 4,496 ", -   ," 100,482 "," 119,001 "," 1,609 ", 98 , -   , -   ," 4,951 "," 11,526 ", -   , -   , -   , -   , -   , -   , -   ," 2,284 ", -   , -   , -   , -   , -   , -   , -   , -   , 401 , -   , -   , -   , -   , 337 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 86 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 180 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 71 , Punjab , NA-72 , Sialkot-III , 23 , 385 , PML(N) , Ali Zahid ," 320,186 "," 268,834 "," 589,020 "," 168,277 "," 129,293 "," 297,570 "," 290,327 "," 7,243 ", 51 , 53 , 48 ," 25,221 ", -   ," 102,527 "," 109,657 "," 2,437 ", -   , -   , -   ," 1,666 "," 43,173 ", -   , -   , -   , -   , -   , -   , -   ," 4,876 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 770 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 72 , Punjab , NA-73 , Sialkot-IV , 26 , 351 , PML(N) , Nosheen Iftikhar ," 287,754 "," 247,044 "," 534,798 "," 148,736 "," 110,175 "," 258,911 "," 253,726 "," 5,185 ", 48 , 52 , 45 ," 7,638 ", -   ," 104,067 "," 112,143 "," 3,147 ", -   , -   , -   ," 2,306 "," 20,287 ", -   , -   , -   , -   , -   , -   , -   ," 2,091 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,290 ", -   , -   , -   , -   , 385 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 372 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 73 , Punjab , NA-74 , Sialkot-V , 18 , 352 , IND-PTI , M Aslam Ghuman ," 289,189 "," 250,204 "," 539,393 "," 150,502 "," 122,734 "," 273,236 "," 267,518 "," 5,718 ", 51 , 52 , 49 ," 6,131 ", -   ," 130,504 "," 95,988 "," 2,796 ", 872 , -   , -   ," 2,836 "," 25,470 ", -   , -   , -   , -   , -   , -   , -   ," 2,921 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 74 , Punjab , NA-75 , Narowal-I , 20 , 415 , PML(N) , Anwar ul Haq Ch ," 341,939 "," 286,921 "," 628,860 "," 178,846 "," 145,379 "," 324,225 "," 314,394 "," 9,831 ", 52 , 52 , 51 ," 98,751 ", -   ," 75,626 "," 99,625 "," 2,530 ", -   ," 1,402 ", -   , -   ," 34,078 ", -   , -   , -   , -   , -   , -   , -   ," 1,994 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 388 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 75 , Punjab , NA-76 , Narowal-II , 20 , 414 , PML(N) , Ahsan Iqbal Ch ," 329,024 "," 280,256 "," 609,280 "," 173,793 "," 132,493 "," 306,286 "," 299,826 "," 6,460 ", 50 , 53 , 47 ," 7,181 ", -   ," 109,309 "," 136,279 "," 3,866 ", -   ," 1,108 ", -   ," 2,192 "," 33,651 ", -   , -   , -   , -   , -   , -   , -   ," 5,837 ", -   , 403 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 76 , Punjab , NA-77 , Gujranwala-I , 25 , 321 , PML(N) , Ch Mehmood Basheer ," 263,856 "," 219,248 "," 483,104 "," 148,961 "," 100,188 "," 249,149 "," 241,513 "," 7,636 ", 52 , 56 , 46 ," 13,588 ", -   ," 91,812 "," 106,451 "," 17,172 ", -   , -   , -   ," 5,447 ", -   , -   , -   , -   , -   , -   , -   , -   ," 6,487 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 430 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 126 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 77 , Punjab , NA-78 , Gujranwala-II , 35 , 319 , IND-PTI , M Mubeen Arif ," 308,306 "," 263,257 "," 571,563 "," 146,730 "," 92,449 "," 239,179 "," 233,746 "," 5,433 ", 42 , 48 , 35 ," 9,575 ", -   ," 106,483 "," 89,465 "," 3,368 ", 74 , -   , -   ," 5,819 "," 14,700 ", 133 , -   , -   , -   , -   , -   , -   ," 3,321 ", -   , -   , -   , -   , -   , -   , -   , -   , 365 , -   , -   , -   , -   , 443 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 78 , Punjab , NA-79 , Gujranwala-III , 29 , 326 , IND-PTI , Ahsan Ullah Virk ," 329,205 "," 269,934 "," 599,139 "," 179,975 "," 123,303 "," 303,278 "," 293,978 "," 9,300 ", 51 , 55 , 46 ," 38,019 ", -   ," 104,023 "," 99,635 "," 2,416 ", -   , -   , -   ," 2,063 "," 24,323 ", -   ," 17,378 ", -   , -   , -   , -   , -   ," 5,403 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 718 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 79 , Punjab , NA-80 , Gujranwala-IV , 34 , 383 , PML(N) , Shahid Usman ," 327,739 "," 273,458 "," 601,197 "," 151,056 "," 88,538 "," 239,594 "," 234,327 "," 5,267 ", 40 , 46 , 32 ," 9,877 ", -   ," 95,007 "," 98,160 "," 3,559 ", -   , -   , -   ," 6,157 "," 18,130 ", -   , -   , -   , -   , -   , -   , -   ," 2,776 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 439 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 222 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 80 , Punjab , NA-81 , Gujranwala-V , 17 , 338 , IND-PTI , Ch Bilal Ijaz ," 289,939 "," 236,185 "," 526,124 "," 162,319 "," 111,405 "," 273,724 "," 266,622 "," 7,102 ", 52 , 56 , 47 ," 11,709 ", -   ," 117,717 "," 109,926 "," 2,516 ", 197 , -   , -   ," 4,039 "," 18,555 ", -   , -   , -   , -   , -   , -   , -   ," 9,065 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 81 , Punjab , NA-82 , Sargodha-I  , 11 , 360 , PML(N) , Mukhtiar Ahmad Malik ," 298,879 "," 264,237 "," 563,116 "," 163,164 "," 130,135 "," 293,299 "," 284,402 "," 8,897 ", 52 , 55 , 49 ," 8,335 ", -   ," 60,472 "," 108,714 "," 87,349 ", -   , 336 , -   ," 3,989 "," 14,902 ", -   , -   , -   , -   , -   , -   , -   , 305 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 82 , Punjab , NA-83 , Sargodha-II , 11 , 328 , IND-PTI , Osama Ahmad Maila ," 283,841 "," 244,713 "," 528,554 "," 163,728 "," 114,025 "," 277,753 "," 268,068 "," 9,685 ", 53 , 58 , 47 ," 8,619 ", -   ," 136,566 "," 98,700 "," 6,845 ", -   , -   , -   ," 3,592 "," 12,333 ", -   , -   , -   , -   , -   , -   , -   ," 1,413 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 83 , Punjab , NA-84 , Sargodha-III , 25 , 344 , IND-PTI , Shafqat Abbas ," 279,393 "," 251,292 "," 530,685 "," 142,106 "," 100,610 "," 242,716 "," 236,454 "," 6,262 ", 46 , 51 , 40 ," 9,915 ", -   ," 101,944 "," 77,477 "," 33,867 ", -   , -   , -   ," 6,363 "," 6,103 ", -   , -   , -   , -   , -   , -   , -   , 785 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 84 , Punjab , NA-85 , Sargodha-IV , 20 , 323 , PML(N) , Zulfiqar Ali Bhatti ," 269,810 "," 237,406 "," 507,216 "," 158,412 "," 119,311 "," 277,723 "," 271,104 "," 6,619 ", 55 , 59 , 50 ," 17,033 ", -   ," 111,135 "," 121,001 "," 9,124 ", -   , -   , -   ," 3,561 "," 3,657 ", -   , -   , -   , -   , -   , -   , -   ," 5,593 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 85 , Punjab , NA-86 , Sargodha-V , 15 , 343 , IND-PTI , M Miqdad Ali Khan ," 285,571 "," 253,557 "," 539,128 "," 152,799 "," 121,250 "," 274,049 "," 260,812 "," 13,237 ", 51 , 54 , 48 ," 14,826 ", -   ," 105,868 "," 94,479 "," 20,951 ", -   , -   , -   ," 4,892 "," 17,299 ", -   , -   , -   , -   , -   , -   , -   ," 1,982 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 515 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 86 , Punjab , NA-87 , Khushab-I , 11 , 345 , PML(N) , Malik Shakir Basheer ," 251,900 "," 237,979 "," 489,879 "," 180,904 "," 90,451 "," 271,355 "," 269,553 "," 1,802 ", 55 , 72 , 38 ," 1,198 ", -   ," 108,308 "," 117,773 "," 14,998 ", -   ," 9,298 ", 523 ," 2,544 "," 14,955 ", -   , -   , -   , -   , -   , -   , -   ," 1,262 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 496 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 87 , Punjab , NA-88 , Khushab-II , 13 , 331 , IPP , Gul Asghar Khan ," 236,055 "," 215,252 "," 451,307 "," 160,959 "," 120,960 "," 281,919 "," 273,506 "," 8,413 ", 62 , 68 , 56 ," 118,708 ", -   ," 55,015 ", -   , -   , -   ," 3,170 ", -   ," 1,785 "," 11,613 ", -   ," 82,577 ", -   , -   , -   , -   , -   , 638 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
