 Sr. No , Province , NA , District , Total Candidates , Polling Stations , Wining Party , Elected MNA , Total Male Voters , Total Female Voters , Total Voters , Total Casted Male Voters , Total Casted Female Voters , Total Casted Votes , Correct Votes , Incorect Votes , Total Turnout % , Male Turnout % , Female Turnout % , IND  , IND-win , IND-PTI , PML(N) , PPPP , MQM  , JUI(P) , ANP , JIP , TLP , PML , IPP , MWMP , BNP , PML(Z) , PNAPF , BAP , PMML , PMAP , NP , GDA , PTI(P) , RJUI , PRHP , QWP , MOTP , PNP , AWP , JUIP(S) , TIPM , HQMP , PAT , PIRP , JUI(N) , NDM , TDP , PFM , PTSP , ATP , MATP , PDQM , TJP , PAAP , BPP , SKQM , PTE , GDP , AATP , PMLKQK , PWP , PAL , PAQ , PFP , TTK , PTSB , TLI , AJPP , AMLP , TTP , PT-Insaniat , APP , JUP(IN) , PTI(N) , ALPP , SIC , KIAP , PPP(BS) , TAP , JWP , IJIP , PL , PMP(N) , HKP , NPC , MJAHP , KI , PML(O) , APMM , SDP , TTNP , PPAP(A) , JUI(NP) , PKI(CA) , PSDP , PAAM , Aman.TP , PSP , PMA , KS , AL , PCP , MQMP , ALI , PML-C , PMLSAF , BNP(A) , JQM , HDTB , HDP , AHDP 
 11 , KPK , NA-12 , Kohistan , 14 , 199 , IND , M Idress ," 103,915 "," 92,210 "," 196,125 "," 58,942 "," 40,870 "," 99,812 "," 98,200 "," 1,612 ", 51 , 57 , 44 ," 25,187 "," 26,583 "," 2,213 ", -   ," 19,790 ", -   ," 22,043 ", -   , 798 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 12 , KPK , NA-13 , Batgram , 11 , 278 , IND-PTI , M Nawaz Khan ," 179,563 "," 149,339 "," 328,902 "," 76,048 "," 17,604 "," 93,652 "," 90,231 "," 3,421 ", 28 , 42 , 12 , 925 , -   ," 32,164 "," 2,492 ", -   , -   ," 21,291 ", -   ," 7,215 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 17,806 ", -   , -   , -   , -   , 60 ," 8,278 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 13 , KPK , NA-14 , Manshera , 8 , 443 , PML(N) , Sardar M Yousuf Khan ," 312,883 "," 269,961 "," 582,844 "," 152,318 "," 108,623 "," 260,941 "," 253,919 "," 7,022 ", 45 , 49 , 40 ," 6,727 ", -   ," 103,333 "," 115,544 "," 13,809 ", -   , -   , -   ," 8,116 "," 5,705 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 685 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 14 , KPK , NA-15 , Manshera-torkham , 15 , 550 , IND-PTI , Shazada M Ghustashp Khan ," 344,125 "," 300,924 "," 645,049 "," 140,288 "," 107,312 "," 247,600 "," 238,518 "," 9,082 ", 38 , 41 , 36 ," 8,465 ", -   ," 105,249 "," 80,382 "," 5,440 ", -   ," 29,931 ", -   ," 4,124 "," 4,423 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 280 , -   , -   , -   , -   , 15 , -   , -   , -   , 209 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 15 , KPK , NA-16 , Abtabad-I , 17 , 464 , IND-PTI , Ali Asghar Khan ," 293,564 "," 260,862 "," 554,426 "," 137,235 "," 111,170 "," 248,405 "," 241,058 "," 7,347 ", 45 , 47 , 43 ," 32,141 ", -   ," 104,993 "," 86,276 "," 1,999 ", -   ," 3,253 ", -   , -   ," 8,810 ", -   , -   , 193 , -   , -   , -   , -   ," 2,663 ", -   , -   , -   , 184 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 546 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 16 , KPK , NA-17 , Abtabad-II , 11 , 324 , IND-PTI , Ali Khan Jadwan ," 207,828 "," 190,367 "," 398,195 "," 100,723 "," 75,942 "," 176,665 "," 172,663 "," 4,002 ", 44 , 48 , 40 ," 4,132 ", -   ," 97,177 "," 44,522 "," 16,392 ", -   ," 4,890 ", -   , -   ," 3,480 ", -   , -   , -   , -   , -   , -   , -   , 412 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 589 ," 1,069 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 17 , KPK , NA-18 , Haripur , 16 , 604 , IND-PTI , Omar Ayub Khan ," 379,500 "," 345,415 "," 724,915 "," 201,304 "," 160,315 "," 361,619 "," 349,897 "," 11,722 ", 50 , 53 , 46 ," 8,055 ", -   ," 192,948 "," 112,389 "," 3,991 ", -   ," 8,942 ", -   ," 7,802 "," 12,316 ", -   , -   , -   , -   , -   , -   , -   ," 1,336 ", -   , -   , -   , -   , -   , -   , 391 , -   , -   , -   , -   , -   , -   , -   , 690 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 18 , KPK , NA-19 , Swabi-I , 16 , 385 , IND-PTI , Asad Qaiser ," 294,944 "," 256,759 "," 551,703 "," 146,077 "," 73,038 "," 219,115 "," 211,710 "," 7,405 ", 40 , 50 , 28 ," 11,173 ", -   ," 115,635 ", -   ," 3,538 ", -   ," 45,567 "," 24,159 "," 4,480 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 256 , -   , -   , -   , -   ," 5,821 ", 906 , 175 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 19 , KPK , NA-20 , Swabi-II , 10 , 378 , IND-PTI , Sheram Khan ," 298,566 "," 259,233 "," 557,799 "," 147,508 "," 73,049 "," 220,557 "," 212,976 "," 7,581 ", 40 , 49 , 28 ," 2,681 ", -   ," 122,965 ", -   ," 16,059 ", -   ," 19,528 "," 47,535 "," 3,704 ", -   , -   , -   , -   , -   , -   , -   , -   , 504 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 20 , KPK , NA-21 , Mardan-I , 11 , 351 , IND-PTI , Mujhaid Ali ," 286,002 "," 235,737 "," 521,739 "," 148,287 "," 89,007 "," 237,294 "," 232,257 "," 5,037 ", 45 , 52 , 38 ," 2,921 ", -   ," 119,023 ", -   ," 16,641 ", -   ," 52,161 "," 31,400 "," 9,100 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,011 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
